"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"QR*****";"QRcode";1;"QRcode";;;
2;" , , , , , , , , , ";"MountingHole_3.2mm_M3_ISO14580_Pad";10;" ";;;
3;"J10";"PinHeader_1x02_P2.54mm_Vertical";1;"PowerSwitch";;;
4;"D1";"LED_0805_2012Metric";1;"PowerGood_LED";;;
5;"D2";"LED_0805_2012Metric";1;"PowerON_LED";;;
6;"J1";"PinSocket_2x08_P2.54mm_Vertical";1;"Device_1";;;
7;"J2";"PinSocket_2x08_P2.54mm_Vertical";1;"Device_2";;;
8;"J3";"PinSocket_2x08_P2.54mm_Vertical";1;"Device_3";;;
9;"J4";"PinHeader_2x08_P2.54mm_Vertical";1;"Device_4";;;
10;"J5";"PinSocket_2x08_P2.54mm_Vertical";1;"Device_5";;;
11;"J6";"PinSocket_2x08_P2.54mm_Vertical";1;"Device_6";;;
12;"J7";"PinSocket_2x08_P2.54mm_Vertical";1;"Device_7";;;
13;"J8";"PinSocket_2x08_P2.54mm_Vertical";1;"InterBoard_Connect";;;
14;"J9";"Molex_Mini-Fit_Jr_5566-24A2_2x12_P4.20mm_Vertical";1;"PSU Conn";;;
15;"R1,R2";"R_0805_2012Metric";2;"200";;;
